ADDA.IDX	AMEX Advance Decline Difference
ADDC.IDX	CSE Advance Decline Difference
ADDE.IDX	ETFS Advance Decline Difference
ADDN.IDX	NYSE Advance Decline Difference
ADDQ.IDX	NASD Advance Decline Difference
ADDS.IDX	TSX Advance Decline Difference
ADDT.IDX	Total Advance Decline Difference
ADDU.IDX	OTC US Advance Decline Difference
ADDV.IDX	TSXV Advance Decline Difference
ADDX.IDX	CAD Total Advance Decline Difference
ADRA.IDX	AMEX Advance Decline Ratio
ADRC.IDX	CSE Advance Decline Ratio
ADRE.IDX	ETFS Advance Decline Ratio
ADRN.IDX	NYSE Advance Decline Ratio
ADRQ.IDX	NASD Advance Decline Ratio
ADRS.IDX	TSX Advance Decline Ratio
ADRT.IDX	Total Advance Decline Ratio
ADRU.IDX	OTC US Advance Decline Ratio
ADRV.IDX	TSXV Advance Decline Ratio
ADRX.IDX	CAD Total Advance Decline Ratio
ADVA.IDX	AMEX Advancing Stocks
ADVC.IDX	CSE Advancing Stocks
ADVE.IDX	ETFS Advancing Stocks
ADVN.IDX	NYSE Advancing Stocks
ADVQ.IDX	NASD Advancing Stocks
ADVS.IDX	TSX Advancing Stocks
ADVT.IDX	Total Advancing Stocks
ADVU.IDX	OTC US Advancing Stocks
ADVV.IDX	TSXV Advancing Stocks
ADVX.IDX	CAD Total Advancing Stocks
AEX.IDX	AEX General - Netherlands
AMX.IDX	Amsterdam Midkap Index
AORD.IDX	All Ordinaries Index
ASHD.IDX	AMEX Declining Stocks
ASHF.IDX	AMEX Advances - Declines
ASHR.IDX	AMEX Advance Decline Ratio
ASHU.IDX	AMEX Advancing Stocks
ATX.IDX	ATX - Austria
AVDA.IDX	AMEX Advances Declines Volume Difference
AVDC.IDX	CSE Advance Decline Volume Difference
AVDE.IDX	ETFS Advances Declines Volume Difference
AVDN.IDX	NYSE Advances Declines Volume Difference
AVDQ.IDX	NASD Advances Declines Volume Difference
AVDS.IDX	TSX Advance Decline Volume Difference
AVDT.IDX	Total Advances Declines Volume Difference
AVDU.IDX	OTC US Advance Decline Volume Difference
AVDV.IDX	TSXV Advance Decline Volume Difference
AVDX.IDX	CAD Total Advance Decline Volume Difference
AVLD.IDX	AMEX Declining Volume
AVLF.IDX	AMEX Advance Decline Volume Difference
AVLR.IDX	AMEX Advance Decline Vol Ratio
AVLU.IDX	AMEX Advancing Volume
AVRA.IDX	AMEX Advance Decline Volume Ratio
AVRC.IDX	CSE Advance Decline Volume Ratio
AVRE.IDX	ETFS Advance Decline Volume Ratio
AVRN.IDX	NYSE Advance Decline Volume Ratio
AVRQ.IDX	NASD Advance Decline Volume Ratio
AVRS.IDX	TSX Advance Decline Volume Ratio
AVRT.IDX	Total Advance Decline Volume Ratio
AVRU.IDX	OTC US Advance Decline Volume Ratio
AVRV.IDX	TSXV Advance Decline Volume Ratio
AVRX.IDX	CAD Total Advance Decline Volume Ratio
AVVA.IDX	AMEX Advancing Volume
AVVC.IDX	CSE Advancing Volume
AVVE.IDX	ETFS Advancing Volume
AVVN.IDX	NYSE Advancing Volume
AVVQ.IDX	NASD Advancing Volume
AVVS.IDX	TSX Advancing Volume
AVVT.IDX	Total Advancing Volume
AVVU.IDX	OTC US Advancing Volume
AVVV.IDX	TSXV Advancing Volume
AVVX.IDX	CAD Total Advancing Volume
AXJO.IDX	Asx 200 Index
BANK.IDX	Nasdaq Bank
BCMA.IDX	Barchart Market Momentum Index Advances
BCMC.IDX	Barchart TSX Market Momentum Index
BCMD.IDX	Barchart Market Momentum Index Declines
BCME.IDX	Barchart TSX Market Momentum Index Advances
BCMF.IDX	Barchart TSX Market Momentum Index Declines
BCMG.IDX	Barchart TSX Market Momentum Index Unch
BCMM.IDX	Barchart Market Momentum Index
BCMU.IDX	Barchart Market Momentum Index Unch
BDMA.IDX	Barchart Market Momentum Advances Yesterday
BDMC.IDX	Barchart TSX Market Momentum Yesterday
BDMD.IDX	Barchart Market Momentum Declines Yesterday
BDME.IDX	Barchart TSX Market Momentum Advances Yesterday
BDMF.IDX	Barchart TSX Market Momentum Declines Yesterday
BDMG.IDX	Barchart TSX Market Momentum Unch Yesterday
BDMM.IDX	Barchart Market Momentum Yesterday
BDMU.IDX	Barchart Market Momentum Unch Yesterday
BEL.IDX	Bel 20 Index
BFMA.IDX	Barchart Market Momentum Advances Last Week
BFMC.IDX	Barchart TSX Market Momentum Last Week
BFMD.IDX	Barchart Market Momentum Declines Last Week
BFME.IDX	Barchart TSX Market Momentum Advances Last Week
BFMF.IDX	Barchart TSX Market Momentum Declines Last Week
BFMG.IDX	Barchart TSX Market Momentum Unch Last Week
BFMM.IDX	Barchart Market Momentum Last Week
BFMU.IDX	Barchart Market Momentum Unch Last Week
BGMA.IDX	Barchart Market Momentum Advances Last Month
BGMC.IDX	Barchart TSX Market Momentum Last Month
BGMD.IDX	Barchart Market Momentum Declines Last Month
BGME.IDX	Barchart TSX Market Momentum Advances Last Month
BGMF.IDX	Barchart TSX Market Momentum Declines Last Month
BGMG.IDX	Barchart TSX Market Momentum Unch Last Month
BGMM.IDX	Barchart Market Momentum Last Month
BGMU.IDX	Barchart Market Momentum Unch Last Month
BKX.IDX	KBW Bank Index
BTK.IDX	AMEX Biotechnology Index
BUX.IDX	B2B Internet Holdrs Index
BVSP.IDX	Bovespa - Brazil
BWH.IDX	POWERSHARES WILDERHILL CLEAN EN
CAC.IDX	CAC 40 Index
CASH.IDX	Cash $1
COMP.IDX	Nasdaq Composite
CPC.IDX	Total Put/Call Ratio
CPCB.IDX	Bond Put/Call Ratio
CPCI.IDX	Index Put/Call Ratio
CPCS.IDX	Equity Put/Call Ratio
CSE.IDX	CSE 25 Index
CYM.IDX	Claymore Yield ETF Iopv
DAX.IDX	Frankfurt Dax
DCFD.IDX	Dow Comp Stocks Above 5-Day Average
DCFI.IDX	Dow Comp Stocks Above 50-Day Average
DCOF.IDX	Dow Comp Stocks Above 150-Day Average
DCOH.IDX	Dow Comp Stocks Above 100-Day Average
DCSE.IDX	Djw US Semiconductor
DCTH.IDX	Dow Comp Stocks Above 200-Day Average
DCTW.IDX	Dow Comp Stocks Above 20-Day Average
DECA.IDX	AMEX Declining Stocks
DECC.IDX	CSE Declining Stocks
DECE.IDX	ETFS Declining Stocks
DECN.IDX	NYSE Declining Stocks
DECQ.IDX	NASD Declining Stocks
DECS.IDX	TSX Declining Stocks
DECT.IDX	Total Declining Stocks
DECU.IDX	OTC US Declining Stocks
DECV.IDX	TSXV Declining Stocks
DECX.IDX	CAD Total Declining Stocks
DIFD.IDX	Dow Indu Stocks Above 5-Day Average
DIFI.IDX	Dow Indu Stocks Above 50-Day Average
DIOF.IDX	Dow Indu Stocks Above 150-Day Average
DIOH.IDX	Dow Indu Stocks Above 100-Day Average
DITH.IDX	Dow Indu Stocks Above 200-Day Average
DITW.IDX	Dow Indu Stocks Above 20-Day Average
DJC.IDX	Dow Jones Composite Average
DJEC.IDX	DJ INTERNET COMMERCE IND
DJI.IDX	DJ Industrial Average
DJT.IDX	DJ Transport Average
DJU.IDX	DJ Utility Average
DJWO.IDX	DJ WORLD STOCK INDEX
DLTC.IDX	U.S. Large-Cap Technology Index
DOWE.IDX	INDUSTRIALS EU$
DRCI.IDX	DJ COMPREIT
DREI.IDX	DJ EQUITYREIT
DSAE.IDX	DJ US AERODEF
DSAF.IDX	DJ US DELIVRYSRV
DSAG.IDX	DJ US ASSETMNG
DSAI.IDX	DJ US ELECEQUIP
DSAL.IDX	DJ US ALUMINUM
DSAM.IDX	DJ US MEDEQUIP
DSAP.IDX	DJ US AUTOPARTS
DSAR.IDX	DJ US AIRLINES
DSAS.IDX	DJ US AEROSPACE
DSAT.IDX	DJ US AUTOPARTS
DSAU.IDX	DJ US AUTOMOBILE
DSAV.IDX	DJ US MEDIAAGN
DSBC.IDX	DJ US BRDCASTENT
DSBD.IDX	DJ US BLDGMATFIX
DSBE.IDX	DJ US BSTRNGEMP
DSBK.IDX	DJ US BANKS
DSBM.IDX	DJ US BASICMAT
DSBS.IDX	DJ US BSCRSRCES
DSBT.IDX	DJ US BIOTECHNO
DSBV.IDX	DJ US BEVERAGES
DSCA.IDX	DJ US GAMBLING
DSCC.IDX	DJ US COMMCHEM
DSCF.IDX	DJ US CLOTHACCSS
DSCG.IDX	DJ US TRAVLEIS
DSCH.IDX	DJ US CHEMICALS
DSCM.IDX	DJ US PERSPROD
DSCN.IDX	DJ US CONSMATRLS
DSCP.IDX	DJ US CTNRS&PKNG
DSCR.IDX	DJ US CMPTRHRDWR
DSCS.IDX	DJ US SPLTYCNSRV
DSCT.IDX	DJ US SEMICONDTR
DSCX.IDX	DJ US SPCLTYCHEM
DSCY.IDX	DJ US CONSUMSRV
DSDB.IDX	DJ US BREWERS
DSDN.IDX	DJ US DEFENSE
DSDR.IDX	DJ US FDDRGRET
DSDS.IDX	DJ US INSUPPLIER
DSDT.IDX	U.S. Diversified REITs Index
DSDV.IDX	DJ US CMPTRSRV
DSEC.IDX	DJ US ELCCOMPEQP
DSEE.IDX	DJ US ELECEQUP
DSEH.IDX	U.S. Real Estate Holding & Development Index
DSEN.IDX	DJ US OIL&GAS
DSES.IDX	U.S. Real Estate Services Index
DSEU.IDX	DJ US ELECTRCTY
DSFA.IDX	DJ US FINADMIN
DSFB.IDX	DJ US FOOD&BEV
DSFC.IDX	DJ US FXLNTELCM
DSFD.IDX	DJ US FOODRTWHSL
DSFE.IDX	DJ US INDUSTMACH
DSFH.IDX	DJ US FURNISHNG
DSFI.IDX	DJ US FINCLSRV
DSFN.IDX	DJ US FINANCIALS
DSFO.IDX	DJ US FOODPRODRS
DSFP.IDX	DJ US FOODPRDCTS
DSFT.IDX	DJ US FOOTWEAR
DSFV.IDX	U.S. Financial Services Index
DSGF.IDX	DJ US GENFINAN
DSGI.IDX	DJ US GENINDUST
DSGT.IDX	DJ US GENRETAIL
DSGU.IDX	DJ US GASDISTRIB
DSHB.IDX	DJ US HOMECONS
DSHC.IDX	DJ US HLTHCARE
DSHD.IDX	DJ US DURHLDPROD
DSHG.IDX	DJ US HLDGOODS
DSHI.IDX	DJ US HMIMPRETL
DSHL.IDX	U.S. Hotel & Lodging REITs Index
DSHN.IDX	DJ US NDURHLDPRD
DSHP.IDX	DJ US HLTHCRPVDR
DSHR.IDX	DJ US COMRVEHTRK
DSHV.IDX	DJ US HVYCONS
DSIB.IDX	DJ US INSBROKERS
DSID.IDX	DJ US DVSFINDUS
DSIF.IDX	DJ US FLLINEINS
DSIG.IDX	DJ US INDGDS&SRV
DSIL.IDX	DJ US LIFEINSUR
DSIM.IDX	DJ US INDMETALS
DSIN.IDX	DJ US INDSTRIALS
DSIO.IDX	U.S. Industrial & Office REITs Index
DSIP.IDX	DJ US PROPCASINS
DSIQ.IDX	DJ US INDSTENGNG
DSIR.IDX	DJ US INSURANCE
DSIS.IDX	DJ US SUPPORTSRV
DSIT.IDX	DJ US INDSTTRANS
DSIU.IDX	DJ US REINSURAN
DSIV.IDX	DJ US BUSSUPSRV
DSIX.IDX	DJ US NLIFEINSUR
DSLE.IDX	DJ US LEISGOODS
DSLG.IDX	DJ US HOTELS
DSLW.IDX	DJ US LOWCAP
DSMC.IDX	DJ US HCREQPSRV
DSME.IDX	DJ US MEDIA
DSMF.IDX	DJ US MORTGFIN
DSMG.IDX	DJ US MINING
DSMR.IDX	U.S. Mortgage REITs Index
DSMS.IDX	DJ US MDSUPPLIES
DSMT.IDX	DJ US MARTRANSPT
DSMU.IDX	DJ US MULUTILTES
DSNC.IDX	DJ US CONSUMGDS
DSNF.IDX	DJ US NONFERMET
DSNG.IDX	DJ US PERHLDGDS
DSNS.IDX	DJ US INTERNET
DSOG.IDX	DJ US OILGAS
DSOI.IDX	DJ US OILEQPSRV
DSOL.IDX	DJ US INTGOILGAS
DSOQ.IDX	DJ US OILEQPSRV
DSOS.IDX	DJ US EXPLPROD
DSPB.IDX	DJ US PUBLISHING
DSPC.IDX	DJ US WSTDSPSRV
DSPG.IDX	DJ US PERSGOODS
DSPL.IDX	DJ US PIPELINES
DSPM.IDX	DJ US GOLDMNG
DSPN.IDX	DJ US PHARMBIO
DSPR.IDX	DJ US PHARMCTCLS
DSRA.IDX	DJ US APPRLRET
DSRB.IDX	DJ US BRDLNRET
DSRD.IDX	DJ US DRUGRET
DSRE.IDX	U.S. Real Estate Index
DSRH.IDX	DJ US RESTHLDG
DSRI.IDX	DJ US RESTINVTR
DSRL.IDX	U.S. Retail REITs Index
DSRN.IDX	U.S. Residential REITs Index
DSRP.IDX	DJ US RECPRODUCT
DSRQ.IDX	DJ US RECSERVICE
DSRR.IDX	DJ US RAILROADS
DSRS.IDX	DJ US SPLTYRET
DSRT.IDX	DJ US RETAIL
DSRU.IDX	DJ US RESTRBARS
DSSB.IDX	DJ US INVSRV
DSSC.IDX	DJ US SEMCNDCTRS
DSSD.IDX	DJ US SOFTDRINKS
DSSF.IDX	DJ US CONSUMFIN
DSSP.IDX	DJ US SPECIALFIN
DSSR.IDX	U.S. Specialty REITs Index
DSST.IDX	DJ US STEEL
DSSV.IDX	DJ US SFTCPTRSRV
DSSW.IDX	DJ US SOFTWARE
DSTB.IDX	DJ US TOBACCO
DSTC.IDX	DJ US TECHNOLOGY
DSTK.IDX	DJ US TRUCKING
DSTL.IDX	DJ US TELECOM
DSTP.IDX	DJ US TOPCAP
DSTQ.IDX	DJ US TECHHRDEQ
DSTS.IDX	DJ US TRANSSRV
DSTT.IDX	DJ US TRVLTOUR
DSTY.IDX	DJ US TOYS
DSUO.IDX	DJ US GASWTRMUT
DSUT.IDX	DJ US UTILITIES
DSVE.IDX	U.S. Conventional Electricity Index
DSVN.IDX	DJ US DISVINTNER
DSWC.IDX	DJ US MOBTELECOM
DSWU.IDX	DJ US WATER
DTCI.IDX	DJ COMPREIT TR
